,,mean,std,min,max,median,q1,q3
ClosedHH (Symbolic) (GT),Statistical::Poly Offset Mean,-0.081,0.127,-0.475,0.442,-0.086,-0.16,-0.001
ClosedHH (Symbolic) (GT),Statistical::Poly Offset std,0.136,0.091,0.0,0.441,0.105,0.074,0.176
ClosedHH (Symbolic),Statistical::Poly Offset Mean,-0.066,0.034,-0.153,0.019,-0.067,-0.091,-0.037
ClosedHH (Symbolic),Statistical::Poly Offset std,0.018,0.008,0.0,0.057,0.017,0.011,0.023
ClosedHH (GT),Statistical::Poly Offset Mean,-0.083,0.127,-0.467,0.442,-0.088,-0.161,-0.001
ClosedHH (GT),Statistical::Poly Offset std,0.139,0.092,0.0,0.44,0.107,0.075,0.184
ClosedHH,Statistical::Poly Offset Mean,-0.107,0.034,-0.193,-0.025,-0.109,-0.134,-0.076
ClosedHH,Statistical::Poly Offset std,0.025,0.01,0.002,0.058,0.023,0.017,0.031
Kicks & Snares (GT),Statistical::Poly Offset Mean,-0.068,0.109,-0.433,0.483,-0.063,-0.141,0.006
Kicks & Snares (GT),Statistical::Poly Offset std,0.153,0.089,0.0,0.442,0.133,0.083,0.212
Kicks & Snares,Statistical::Poly Offset Mean,-0.018,0.028,-0.115,0.067,-0.017,-0.039,0.004
Kicks & Snares,Statistical::Poly Offset std,0.022,0.01,0.0,0.054,0.022,0.016,0.029
Random (Low) (GT),Statistical::Poly Offset Mean,-0.07,0.126,-0.492,0.5,-0.071,-0.15,0.008
Random (Low) (GT),Statistical::Poly Offset std,0.137,0.089,0.0,0.492,0.115,0.071,0.191
Random (Low),Statistical::Poly Offset Mean,-0.022,0.013,-0.089,0.022,-0.022,-0.03,-0.014
Random (Low),Statistical::Poly Offset std,0.01,0.008,0.0,0.05,0.009,0.002,0.015
Random (High) (GT),Statistical::Poly Offset Mean,-0.068,0.098,-0.427,0.33,-0.068,-0.138,-0.003
Random (High) (GT),Statistical::Poly Offset std,0.162,0.078,0.0,0.484,0.149,0.098,0.217
Random (High),Statistical::Poly Offset Mean,-0.038,0.02,-0.115,0.054,-0.038,-0.052,-0.025
Random (High),Statistical::Poly Offset std,0.023,0.01,0.0,0.073,0.021,0.015,0.029
